City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Floro,NO,2021-04-17 21:29:09,61.5996,5.0328,42.8,70,0,9.22
68,Sukhumi,GE,2021-04-17 21:29:10,43.0033,41.0153,54.95,88,100,2.24
69,Bambous Virieux,MU,2021-04-17 21:29:10,-20.3428,57.7575,78.01,88,75,8.05
70,Gushi,CN,2021-04-17 21:29:11,34.6425,109.5843,53.82,27,100,3.13
71,Kapit,MY,2021-04-17 21:29:11,2.0167,112.9333,72.28,99,100,1.95
72,Wattegama,LK,2021-04-17 21:29:12,6.7989,81.4808,77.0,100,40,5.75
73,Meudon,FR,2021-04-17 21:27:24,48.8138,2.235,48.99,57,0,12.66
74,Pevek,RU,2021-04-17 21:29:12,69.7008,170.3133,20.53,95,91,9.8
75,Lebu,CL,2021-04-17 21:16:38,-37.6167,-73.65,59.11,77,70,5.5
76,Sumenep,ID,2021-04-17 21:29:13,-7.0167,113.8667,77.86,78,66,3.04
77,Castro,BR,2021-04-17 21:29:13,-24.7911,-50.0119,62.1,88,72,2.04
78,Mar Del Plata,AR,2021-04-17 21:29:11,-38.0023,-57.5575,66.99,94,75,6.91
79,Moron,AR,2021-04-17 21:26:48,-34.6534,-58.6198,73.0,73,100,1.99
80,Arraial Do Cabo,BR,2021-04-17 21:29:14,-22.9661,-42.0278,75.2,88,40,13.8
81,Xuchang,CN,2021-04-17 21:29:15,34.0167,113.8167,50.0,62,0,2.24
82,Lima,PE,2021-04-17 21:27:34,-12.0432,-77.0282,75.99,68,0,14.97
83,Ottumwa,US,2021-04-17 21:29:15,41.02,-92.4113,66.2,29,40,12.66
84,Sidi Ali,DZ,2021-04-17 21:29:16,36.0998,0.4206,52.07,74,3,3.42
85,Te Anau,NZ,2021-04-17 21:29:16,-45.4167,167.7167,50.14,94,100,5.57
86,Cabo San Lucas,MX,2021-04-17 21:14:36,22.8909,-109.9124,82.99,34,1,12.66
87,Coquimbo,CL,2021-04-17 21:28:26,-29.9533,-71.3436,59.0,82,75,10.36
