City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Khipro,PK,81.68,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
286,Mahajanga,MG,75.2,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
293,Lodwar,KE,83.59,overcast clouds,3.1191,35.5973,Turkwel Lodge
294,Harper,LR,77.5,overcast clouds,4.375,-7.7169,Screensaver
298,Jalu,LY,78.78,few clouds,29.0331,21.5482,صاحبة الفخامة
299,Faanui,PF,82.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Kroya,ID,80.71,broken clouds,-7.6331,109.2461,RUSTANTO Fam
304,Hobyo,SO,82.87,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
305,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
307,Kumo,NG,78.24,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
310,Boa Vista,BR,82.4,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
311,Nioro,GM,80.37,overcast clouds,13.35,-15.75,
317,Weligama,LK,77.32,overcast clouds,5.9667,80.4167,Weligama Bay Resort
324,Ukiah,US,78.8,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
326,Sao Jose Da Coroa Grande,BR,76.77,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
328,Araouane,ML,81.82,few clouds,18.9048,-3.5265,
337,Taoudenni,ML,82.2,clear sky,22.6783,-3.9836,
338,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
339,Kudahuvadhoo,MV,82.76,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
341,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
344,Port Hedland,AU,86.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
345,Cayenne,GF,81.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
