City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rocha,UY,-34.4833,-54.3333,58.95,94,85,3.56,overcast clouds
80,Balkanabat,TM,39.5108,54.3671,68.83,34,0,5.1,clear sky
81,Bonthe,SL,7.5264,-12.505,78.66,83,99,2.17,overcast clouds
82,Hamilton,US,39.1834,-84.5333,48.99,76,20,4.61,few clouds
83,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,90,8.05,overcast clouds
84,Jizan,SA,17.3333,42.6667,84.2,79,20,10.36,few clouds
85,Mareeba,AU,-17.0,145.4333,84.2,65,90,12.66,overcast clouds
86,Te Anau,NZ,-45.4167,167.7167,55.89,80,84,6.62,moderate rain
87,Nago,JP,26.5881,127.9761,68.0,49,1,18.41,clear sky
88,Lompoc,US,34.6391,-120.4579,55.4,71,10,14.97,clear sky
89,Brownfield,US,33.1812,-102.2744,52.0,43,1,6.91,clear sky
90,Broome,US,42.2506,-75.833,45.0,75,90,5.75,overcast clouds
91,Eirunepe,BR,-6.6603,-69.8736,73.96,93,100,1.97,overcast clouds
92,Hobart,AU,-42.8794,147.3294,63.0,51,75,19.57,light rain
93,Bang Saphan,TH,11.2126,99.5117,84.0,100,20,2.3,few clouds
94,Agua Branca,BR,-5.8922,-42.6361,73.09,87,98,2.84,overcast clouds
95,Khanpur,PK,28.6453,70.6567,75.61,32,29,6.08,scattered clouds
96,Goderich,CA,43.7501,-81.7165,42.8,81,20,3.44,few clouds
97,Saint George,US,37.1041,-113.5841,64.99,19,1,14.97,clear sky
98,Pevek,RU,69.7008,170.3133,25.99,86,7,17.16,clear sky
99,Airai,TL,-8.9266,125.4092,70.83,58,58,3.0,broken clouds
100,Sao Tome,ST,0.3365,6.7273,81.77,80,100,3.58,overcast clouds
101,Asahikawa,JP,43.7678,142.3703,44.6,93,75,4.61,moderate rain
102,Nova Olimpia,BR,-14.7972,-57.2881,73.87,89,44,4.63,scattered clouds
103,Sur,OM,22.5667,59.5289,81.97,49,42,4.34,scattered clouds
104,Nome,US,64.5011,-165.4064,33.8,75,1,9.22,clear sky
105,Butaritari,KI,3.0707,172.7902,82.29,77,98,9.04,light rain
106,Esperance,AU,-33.8667,121.9,64.4,63,0,13.8,clear sky
107,Chokurdakh,RU,70.6333,147.9167,17.91,84,100,5.73,overcast clouds
108,Harnosand,SE,62.6323,17.9379,32.0,74,6,6.91,clear sky
109,Port Lincoln,AU,-34.7333,135.8667,64.06,53,6,5.1,clear sky
110,San Quintin,MX,30.4833,-115.95,60.24,71,0,14.34,clear sky
111,Ponta Do Sol,PT,32.6667,-17.1,57.99,71,70,1.99,broken clouds
112,Suwalki,PL,54.1118,22.9309,42.96,90,100,5.59,overcast clouds
113,Develi,TR,38.3906,35.4922,59.0,58,75,1.14,broken clouds
114,Gamba,GA,-2.65,10.0,78.6,89,100,4.63,overcast clouds
115,Lebu,CL,-37.6167,-73.65,55.15,91,100,2.26,light rain
116,Hami,CN,42.8,93.45,63.46,14,100,11.72,overcast clouds
117,Maniitsoq,GL,65.4167,-52.9,6.35,75,17,14.79,few clouds
118,Vardo,NO,70.3705,31.1107,34.63,89,46,10.47,scattered clouds
119,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,86,1,6.91,clear sky
120,Dunedin,NZ,-45.8742,170.5036,60.01,58,100,5.99,overcast clouds
121,Zhangye,CN,38.9342,100.4517,56.91,15,100,2.98,overcast clouds
122,Saint-Pierre,RE,-21.3393,55.4781,73.4,83,90,8.05,light rain
123,Lethem,GY,3.3803,-59.7968,79.52,67,28,9.82,scattered clouds
124,Chapais,CA,49.7834,-74.8492,46.4,46,75,3.44,broken clouds
125,Ozuluama,MX,21.6667,-97.85,68.77,78,100,17.25,overcast clouds
126,Guerrero Negro,MX,27.9769,-114.0611,61.54,71,0,21.0,clear sky
127,Ohara,JP,35.25,140.3833,66.2,34,20,18.41,few clouds
128,Tuatapere,NZ,-46.1333,167.6833,59.0,73,62,8.01,broken clouds
129,Tyrma,RU,50.0833,132.1667,46.47,65,56,2.55,broken clouds
130,Thompson,CA,55.7435,-97.8558,28.4,69,90,13.8,light snow
131,Saskylakh,RU,71.9167,114.0833,7.92,92,100,12.8,overcast clouds
132,Quatre Cocos,MU,-20.2078,57.7625,75.99,94,40,6.91,scattered clouds
133,Padang,ID,-0.9492,100.3543,75.2,94,20,1.14,few clouds
134,Chicama,PE,-7.8447,-79.1469,66.2,88,75,9.22,broken clouds
135,Sangar,RU,63.9242,127.4739,16.68,85,100,8.48,light snow
136,Kushima,JP,31.4583,131.2333,57.2,38,40,17.27,scattered clouds
137,Stornoway,GB,58.2093,-6.3865,45.0,87,75,21.85,broken clouds
138,Manta,EC,-0.95,-80.7333,77.0,83,75,9.22,broken clouds
139,Alpine,US,32.835,-116.7664,71.01,56,1,9.22,clear sky
140,Durant,US,33.994,-96.3708,55.4,58,75,8.05,broken clouds
141,Gizo,SB,-8.103,156.8419,84.15,73,100,4.41,light rain
142,Vuktyl,RU,63.8567,57.3094,20.98,81,82,11.32,broken clouds
143,Taborfalva,HU,47.0994,19.4784,42.8,81,0,4.61,clear sky
144,Gambela,ET,8.25,34.5833,81.99,41,83,2.51,broken clouds
145,Zabaykalsk,RU,49.6333,117.3167,50.07,32,0,6.38,clear sky
146,Pryazha,RU,61.6926,33.6216,28.4,80,9,2.24,clear sky
147,Bethel,US,41.3712,-73.414,48.2,57,90,2.77,overcast clouds
148,Igualada,ES,41.581,1.6172,41.0,89,13,3.0,few clouds
